Source,Target,Relation
@BJP4Bengal,mithunda_off,friend
DreamscapeMelo1,mithunda_off,follower_of_friend
BisheswarMaha10,mithunda_off,follower_of_friend
Saiyada10803839,mithunda_off,follower_of_friend
RRRMovieeee,mithunda_off,follower_of_friend
trueindian9365,mithunda_off,follower_of_friend
SudipSa91383823,mithunda_off,follower_of_friend
AnandTraveler,mithunda_off,follower_of_friend
SukhenS64540140,mithunda_off,follower_of_friend
AG49344933,mithunda_off,follower_of_friend
RahulGa97429034,mithunda_off,follower_of_friend
SUNILMA30668295,mithunda_off,follower_of_friend
Andri54527441,mithunda_off,follower_of_friend
AnkushG43426832,mithunda_off,follower_of_friend
Ritika65700670,mithunda_off,follower_of_friend
SONUPINKOO,mithunda_off,follower_of_friend
SatishMPujari3,mithunda_off,follower_of_friend
ShakilShuvo12,mithunda_off,follower_of_friend
Suman034491,mithunda_off,follower_of_friend
nishant04483883,mithunda_off,follower_of_friend
ghosh_sheoshri,mithunda_off,follower_of_friend
mithunda_off,DreamscapeMelo1,friend_of_friend
mithunda_off,BisheswarMaha10,friend_of_friend
mithunda_off,Saiyada10803839,friend_of_friend
mithunda_off,RRRMovieeee,friend_of_friend
mithunda_off,trueindian9365,friend_of_friend
mithunda_off,SudipSa91383823,friend_of_friend
mithunda_off,AnandTraveler,friend_of_friend
mithunda_off,SukhenS64540140,friend_of_friend
mithunda_off,AG49344933,friend_of_friend
mithunda_off,RahulGa97429034,friend_of_friend
mithunda_off,SUNILMA30668295,friend_of_friend
mithunda_off,Andri54527441,friend_of_friend
mithunda_off,AnkushG43426832,friend_of_friend
mithunda_off,Ritika65700670,friend_of_friend
mithunda_off,SONUPINKOO,friend_of_friend
mithunda_off,SatishMPujari3,friend_of_friend
mithunda_off,ShakilShuvo12,friend_of_friend
mithunda_off,Suman034491,friend_of_friend
mithunda_off,nishant04483883,friend_of_friend
mithunda_off,ghosh_sheoshri,friend_of_friend
@BJP4Bengal,Yash_Dasgupta,friend
amit0360,Yash_Dasgupta,follower_of_friend
SaleemA15693305,Yash_Dasgupta,follower_of_friend
radhe99393,Yash_Dasgupta,follower_of_friend
RameshS94322681,Yash_Dasgupta,follower_of_friend
krishmenon11,Yash_Dasgupta,follower_of_friend
RiyaSar76230472,Yash_Dasgupta,follower_of_friend
AnandTraveler,Yash_Dasgupta,follower_of_friend
AG49344933,Yash_Dasgupta,follower_of_friend
MartandMisra,Yash_Dasgupta,follower_of_friend
ghosh_sheoshri,Yash_Dasgupta,follower_of_friend
AdityaS14772295,Yash_Dasgupta,follower_of_friend
Fistfocus,Yash_Dasgupta,follower_of_friend
varshneyamitin,Yash_Dasgupta,follower_of_friend
tanueksoch,Yash_Dasgupta,follower_of_friend
singh_bhadotiya,Yash_Dasgupta,follower_of_friend
himanshubjym57,Yash_Dasgupta,follower_of_friend
BiruThapa0,Yash_Dasgupta,follower_of_friend
10Kfollow1,Yash_Dasgupta,follower_of_friend
Brajesh44193093,Yash_Dasgupta,follower_of_friend
AnshuBh73306574,Yash_Dasgupta,follower_of_friend
Yash_Dasgupta,amit0360,friend_of_friend
Yash_Dasgupta,SaleemA15693305,friend_of_friend
Yash_Dasgupta,radhe99393,friend_of_friend
Yash_Dasgupta,RameshS94322681,friend_of_friend
Yash_Dasgupta,krishmenon11,friend_of_friend
Yash_Dasgupta,RiyaSar76230472,friend_of_friend
Yash_Dasgupta,AnandTraveler,friend_of_friend
Yash_Dasgupta,AG49344933,friend_of_friend
Yash_Dasgupta,MartandMisra,friend_of_friend
Yash_Dasgupta,ghosh_sheoshri,friend_of_friend
Yash_Dasgupta,AdityaS14772295,friend_of_friend
Yash_Dasgupta,Fistfocus,friend_of_friend
Yash_Dasgupta,varshneyamitin,friend_of_friend
Yash_Dasgupta,tanueksoch,friend_of_friend
Yash_Dasgupta,singh_bhadotiya,friend_of_friend
Yash_Dasgupta,himanshubjym57,friend_of_friend
Yash_Dasgupta,BiruThapa0,friend_of_friend
Yash_Dasgupta,10Kfollow1,friend_of_friend
Yash_Dasgupta,Brajesh44193093,friend_of_friend
Yash_Dasgupta,AnshuBh73306574,friend_of_friend
@BJP4Bengal,smritiirani,friend
Manpree05410936,smritiirani,follower_of_friend
RAUSHAN98039445,smritiirani,follower_of_friend
Bhupend00975726,smritiirani,follower_of_friend
RaviVer32841494,smritiirani,follower_of_friend
PatelVi16283517,smritiirani,follower_of_friend
Sahdevbhai12,smritiirani,follower_of_friend
1m0sFDwtmHEB5xN,smritiirani,follower_of_friend
gr8upasana86,smritiirani,follower_of_friend
AtulCho66067674,smritiirani,follower_of_friend
KaranJh30951863,smritiirani,follower_of_friend
Prabhu63533421,smritiirani,follower_of_friend
sanjitadutta3,smritiirani,follower_of_friend
trichyemart,smritiirani,follower_of_friend
npsingh_india,smritiirani,follower_of_friend
Hareesh75620587,smritiirani,follower_of_friend
Pragati62195280,smritiirani,follower_of_friend
ankit_deliwala,smritiirani,follower_of_friend
AnkushS62516758,smritiirani,follower_of_friend
Zafar80916460,smritiirani,follower_of_friend
InduCha64656507,smritiirani,follower_of_friend
smritiirani,Manpree05410936,friend_of_friend
smritiirani,RAUSHAN98039445,friend_of_friend
smritiirani,Bhupend00975726,friend_of_friend
smritiirani,RaviVer32841494,friend_of_friend
smritiirani,PatelVi16283517,friend_of_friend
smritiirani,Sahdevbhai12,friend_of_friend
smritiirani,1m0sFDwtmHEB5xN,friend_of_friend
smritiirani,gr8upasana86,friend_of_friend
smritiirani,AtulCho66067674,friend_of_friend
smritiirani,KaranJh30951863,friend_of_friend
smritiirani,Prabhu63533421,friend_of_friend
smritiirani,sanjitadutta3,friend_of_friend
smritiirani,trichyemart,friend_of_friend
smritiirani,npsingh_india,friend_of_friend
smritiirani,Hareesh75620587,friend_of_friend
smritiirani,Pragati62195280,friend_of_friend
smritiirani,ankit_deliwala,friend_of_friend
smritiirani,AnkushS62516758,friend_of_friend
smritiirani,Zafar80916460,friend_of_friend
smritiirani,InduCha64656507,friend_of_friend
@BJP4Bengal,Paayel_12353,friend
SharmaZak,Paayel_12353,follower_of_friend
amitjoshi7732,Paayel_12353,follower_of_friend
Saiyada10803839,Paayel_12353,follower_of_friend
RRRMovieeee,Paayel_12353,follower_of_friend
iamharsh1000,Paayel_12353,follower_of_friend
WasimBariMolla1,Paayel_12353,follower_of_friend
AnandTraveler,Paayel_12353,follower_of_friend
MdSazza72960924,Paayel_12353,follower_of_friend
AG49344933,Paayel_12353,follower_of_friend
kriti_Gaurav,Paayel_12353,follower_of_friend
canadianbilla,Paayel_12353,follower_of_friend
ArchismannC,Paayel_12353,follower_of_friend
rishabbhargav99,Paayel_12353,follower_of_friend
Surabhisweta,Paayel_12353,follower_of_friend
SONUPINKOO,Paayel_12353,follower_of_friend
neerajjagtap888,Paayel_12353,follower_of_friend
SatishMPujari3,Paayel_12353,follower_of_friend
Ankush_bishnoi_,Paayel_12353,follower_of_friend
pthk2016,Paayel_12353,follower_of_friend
AnkushB29998812,Paayel_12353,follower_of_friend
Paayel_12353,SharmaZak,friend_of_friend
Paayel_12353,amitjoshi7732,friend_of_friend
Paayel_12353,Saiyada10803839,friend_of_friend
Paayel_12353,RRRMovieeee,friend_of_friend
Paayel_12353,iamharsh1000,friend_of_friend
Paayel_12353,WasimBariMolla1,friend_of_friend
Paayel_12353,AnandTraveler,friend_of_friend
Paayel_12353,MdSazza72960924,friend_of_friend
Paayel_12353,AG49344933,friend_of_friend
Paayel_12353,kriti_Gaurav,friend_of_friend
Paayel_12353,canadianbilla,friend_of_friend
Paayel_12353,ArchismannC,friend_of_friend
Paayel_12353,rishabbhargav99,friend_of_friend
Paayel_12353,Surabhisweta,friend_of_friend
Paayel_12353,SONUPINKOO,friend_of_friend
Paayel_12353,neerajjagtap888,friend_of_friend
Paayel_12353,SatishMPujari3,friend_of_friend
Paayel_12353,Ankush_bishnoi_,friend_of_friend
Paayel_12353,pthk2016,friend_of_friend
Paayel_12353,AnkushB29998812,friend_of_friend
@BJP4Bengal,dindaashoke,friend
aman8x,dindaashoke,follower_of_friend
BhavnaS63628880,dindaashoke,follower_of_friend
AsadAli30291197,dindaashoke,follower_of_friend
Siddharth__13,dindaashoke,follower_of_friend
TarunSanghvi_,dindaashoke,follower_of_friend
Abhinav64152319,dindaashoke,follower_of_friend
imvikash_kumar,dindaashoke,follower_of_friend
premprakash431,dindaashoke,follower_of_friend
amit0360,dindaashoke,follower_of_friend
madsud91,dindaashoke,follower_of_friend
Aaryaavart_Ind,dindaashoke,follower_of_friend
MilanSingh07,dindaashoke,follower_of_friend
Chauhan_Huin,dindaashoke,follower_of_friend
ShashankSri007,dindaashoke,follower_of_friend
Chandes63182548,dindaashoke,follower_of_friend
Saffron_Surfer,dindaashoke,follower_of_friend
iiLGrjyM2aywPlH,dindaashoke,follower_of_friend
Pb_Bodake,dindaashoke,follower_of_friend
anandabhisek12,dindaashoke,follower_of_friend
Sarthak08526064,dindaashoke,follower_of_friend
dindaashoke,aman8x,friend_of_friend
dindaashoke,BhavnaS63628880,friend_of_friend
dindaashoke,AsadAli30291197,friend_of_friend
dindaashoke,Siddharth__13,friend_of_friend
