Source,Target
mirza_amjad1,DrGaffarQuadri
MdFaiyaz0,DrGaffarQuadri
zohrakhanaimim,DrGaffarQuadri
mr_khan1725,DrGaffarQuadri
MahfoozRaza20,DrGaffarQuadri
DrGaffarQuadri,DrGaffarQuadri
Ptl_Aamir,DrGaffarQuadri
TheZHussain,DrGaffarQuadri
NawabSahareyar,DrGaffarQuadri
Sharif7381,DrGaffarQuadri
NawazishRaza786,DrGaffarQuadri
bihar_zakir,DrGaffarQuadri
shaMIMRaNch,DrGaffarQuadri
MdFaiyaz0,DrGaffarQuadri
AsifKhanMim4,DrGaffarQuadri
shaikhminhaj1,DrGaffarQuadri
OweshRana,DrGaffarQuadri
AnsariNawab11,DrGaffarQuadri
AjayKus45043045,newsclickin
DilwalSoni,newsclickin
vishalglobal55,newsclickin
sv99999999,newsclickin
SandeepSaroha90,newsclickin
Lambardar707,newsclickin
viveksi95692498,newsclickin
avanish_231,newsclickin
HaathkeSaat,newsclickin
Deep51616179,newsclickin
notifysunil,newsclickin
Tulika__,newsclickin
jeebanjyotibis2,newsclickin
maheshu483,newsclickin
1953Surya,newsclickin
SandeepSaroha90,newsclickin
RaviAvatar,newsclickin
anewradha,newsclickin
akc17,newsclickin
mtvsan70,newsclickin
iamirfan111,newsclickin
SimranBishnoi7,newsclickin
rinnaywaraich,newsclickin
Akshaykumar2019,newsclickin
ASK7799,newsclickin
aditiit,newsclickin
sumitktr2,newsclickin
VarunJPSingh,newsclickin
imnazar1,newsclickin
SandeepSaroha90,newsclickin
Sunshin52007848,newsclickin
_iamrafee,newsclickin
creativerajiv,newsclickin
IndiasBigdebate,newsclickin
jjaatatitud1,newsclickin
DanishK39739722,newsclickin
GargSipika,newsclickin
maheshu483,newsclickin
KoustavSinha10,KrishanuBJP
KKSharm52370516,KrishanuBJP
abhijit_chat,KrishanuBJP
gayatrisavitri,KrishanuBJP
Subrata01867935,KrishanuBJP
Rohitdholpure7,KrishanuBJP
sumitra79562765,KrishanuBJP
vikassingh_bjp,KrishanuBJP
Anubhav__BJP,KrishanuBJP
jagadartiha,KrishanuBJP
sumitra79562765,KrishanuBJP
RahulNa65610969,KrishanuBJP
FireFly53647402,KrishanuBJP
ParthaS63398527,KrishanuBJP
kkarmakar64,KrishanuBJP
Subrata01867935,KrishanuBJP
AmiyaPa53962044,KrishanuBJP
Subrata01867935,KrishanuBJP
Subrata01867935,KrishanuBJP
RabiulI51414890,KrishanuBJP
chinmayghosh170,KrishanuBJP
SujanDa28801483,KrishanuBJP
SamarpitaSark14,KrishanuBJP
Dipanka95927402,KrishanuBJP
iarindambanerje,KrishanuBJP
BenteSuman,KrishanuBJP
jagadartiha,KrishanuBJP
BisnuDa60182119,KrishanuBJP
SubrotoCRJ,KrishanuBJP
Subrata01867935,KrishanuBJP
ArindamMitraIN,KrishanuBJP
Chandan36285342,KrishanuBJP
bijeshkishore,KrishanuBJP
basusayan,KrishanuBJP
SouravS86389809,KrishanuBJP
Chiranj54990659,KrishanuBJP
Dipanka95927402,KrishanuBJP
UttamJa43722733,KrishanuBJP
ADULTST8C,chhuti_is
chernozems,chhuti_is
tarunbagchi,chhuti_is
protim126,chhuti_is
yoursvivek,chhuti_is
Badassbieber2,chhuti_is
aparupa,chhuti_is
shrenik0911,chhuti_is
Sumeysh_,chhuti_is
iamvicky786,chhuti_is
SahilSi00051931,Chandrimaaitc
MANASKU20832554,Chandrimaaitc
ranjeetshah5097,Chandrimaaitc
SOUMYAM58784333,Chandrimaaitc
AmitBer81725684,Chandrimaaitc
Somenat63100167,Chandrimaaitc
somasha54721652,Chandrimaaitc
excellentshakir,Chandrimaaitc
SkAlam01093533,Chandrimaaitc
SahilSi00051931,Chandrimaaitc
MANASKU20832554,Chandrimaaitc
DharaSutanu,Chandrimaaitc
