Source,Target
Hasim993,MamataOfficial
imranal45789633,MamataOfficial
w_sanjib,MamataOfficial
ShurovKhan4,MamataOfficial
ashish_bhunia,MamataOfficial
SoumenSamui11,MamataOfficial
nAZbSXveVUbOGjB,MamataOfficial
ABHISHE49112871,MamataOfficial
SantuDa05231580,MamataOfficial
subhajitdas2co1,MamataOfficial
sewak_ahuja,SitaramYechury
mysteriousland7,SitaramYechury
PawanKu65988981,SitaramYechury
habib_neha,SitaramYechury
AbuKhan44486626,SitaramYechury
TMeerabhai,SitaramYechury
Miakaa_sam,SitaramYechury
Ashok14248328,MahuaMoitra
cthayyilyahooc2,MahuaMoitra
Punjabi19068915,MahuaMoitra
AshiishIndia,MahuaMoitra
gousiya786,MahuaMoitra
saifnoman90,MahuaMoitra
Sourav_Kumar_21,MahuaMoitra
SyedMoinuddin06,MahuaMoitra
PRASENJ88493509,MahuaMoitra
Sanjoy_mallick7,MamataOfficial
Hasim993,MamataOfficial
imranal45789633,MamataOfficial
w_sanjib,MamataOfficial
MalayMah,MamataOfficial
AsbheTohDidie,MamataOfficial
ashish_bhunia,MamataOfficial
SoumenSamui11,MamataOfficial
nAZbSXveVUbOGjB,MamataOfficial
subhajitdas2co1,MamataOfficial
skgayen,MahuaMoitra
patris_jose,MahuaMoitra
Majidsk13,MahuaMoitra
riyazahmad6828,MahuaMoitra
tuweets,MahuaMoitra
alishbaarif62,MahuaMoitra
AbhiKanabar1,MahuaMoitra
mirzashanawaz91,MahuaMoitra
Sweety42998980,MahuaMoitra
premr2904,MahuaMoitra
ekonkar11,MahuaMoitra
Tanuj10000,MahuaMoitra
Nimrat_khaira_,MahuaMoitra
dhavamuni,MahuaMoitra
Datrade3,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
_shamim7,MahuaMoitra
shahens53810051,MahuaMoitra
rahulrajmalhotr,MahuaMoitra
sahana2802,MahuaMoitra
AnnuJal,MahuaMoitra
zamana2,MahuaMoitra
harishk60901790,MahuaMoitra
KimKomrade,MahuaMoitra
devolvor,MahuaMoitra
Amritsardar,MahuaMoitra
DIPUPATRA2,MahuaMoitra
OmerFarooqqq,MahuaMoitra
iam_ur_alok,MahuaMoitra
SyedMoinuddin06,MahuaMoitra
Boss26407842,MahuaMoitra
FarukMa79499879,MahuaMoitra
smartgeek0001,MahuaMoitra
wat15137895,MahuaMoitra
riyazahmad6828,MahuaMoitra
jsjaspal2k,MahuaMoitra
kp341419,MahuaMoitra
AbhiKanabar1,MahuaMoitra
OlayeeSadique,MamataOfficial
NilimeshDas2,MamataOfficial
AnilSha11503429,MamataOfficial
dwaraka569,MamataOfficial
Najibul_AITC,MamataOfficial
AvijitM15535698,MamataOfficial
rajeevgoyal7,MamataOfficial
Janij6Jani,MamataOfficial
Seven80448643,MamataOfficial
RajaSar24703351,MamataOfficial
rakeshk39839579,MahuaMoitra
iinngest,MahuaMoitra
SamtaniDeepesh,MahuaMoitra
Upendra_R_07,MahuaMoitra
Nimbagalram,MahuaMoitra
hamidsobia,MahuaMoitra
ATVtweets,MahuaMoitra
himanshu_da,MahuaMoitra
ChouhanSumit09,MahuaMoitra
muzaffar2017,MahuaMoitra
gatewaysubhash,MahuaMoitra
shahnawaz_fb,MahuaMoitra
PriyaMun,MahuaMoitra
NeedhiMurasu,MahuaMoitra
simmi658,MahuaMoitra
dammpunk,MahuaMoitra
Priya120880,MahuaMoitra
8794921e70374d4,MahuaMoitra
RizviSalim,MahuaMoitra
venitasjf1,MahuaMoitra
SoumenSamui11,MahuaMoitra
ashish_bhunia,MahuaMoitra
ArifaMojeeb,MahuaMoitra
VikramR48535938,MahuaMoitra
riyazahmad6828,MahuaMoitra
AnanyaaYadav,MahuaMoitra
JuelMolla7,MahuaMoitra
JyotiPrasadBand,MahuaMoitra
andolan_jive,MahuaMoitra
MrPav14,MahuaMoitra
venitasjf1,MahuaMoitra
KiranJangaa,MahuaMoitra
ChelinNaidu,MahuaMoitra
FarukMa79499879,MahuaMoitra
lokeshgrover,MahuaMoitra
BabaAndolan_03,MahuaMoitra
Sayeed92597071,MahuaMoitra
mistry_rafiq,MahuaMoitra
sravan_kumar_9,MahuaMoitra
aariffaisal4,MahuaMoitra
Ishu2015,MahuaMoitra
Priyank727,MahuaMoitra
kumarut31814320,MahuaMoitra
Roaring_Mighty,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
_shamim7,MahuaMoitra
shahens53810051,MahuaMoitra
Bhavesh99T,MahuaMoitra
venitasjf1,MahuaMoitra
FarukMa79499879,MahuaMoitra
VikramR48535938,MahuaMoitra
sukesh1968,MahuaMoitra
RealChowkidar,MahuaMoitra
VikramR48535938,MahuaMoitra
NoyemAli,MahuaMoitra
okmansai,MahuaMoitra
Santanu94180263,MahuaMoitra
modparvez,MahuaMoitra
SAJIDKH95450813,MahuaMoitra
Big_harry2,MahuaMoitra
riyazahmad6828,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
AbhiKanabar1,MahuaMoitra
ritadhi,MahuaMoitra
VishwaSKumbar1,MahuaMoitra
Varun8Vijay,MahuaMoitra
iVikRana,MahuaMoitra
OfficialArjunB,SitaramYechury
PVRATHNAM8,SitaramYechury
MarinerChan,SitaramYechury
Javedahmed2407,SitaramYechury
sujeeshrayaroth,SitaramYechury
DrShujaatKhan1,SitaramYechury
damaramsaranpkt,SitaramYechury
MdAsu73,SitaramYechury
Somenat63100167,MamataOfficial
TejendraSarkar2,MamataOfficial
MLASabina,MamataOfficial
BabaBagavathy,MamataOfficial
mas007asm,MamataOfficial
Najibul_AITC,MamataOfficial
Iftequa91072512,MamataOfficial
Snehasi08781908,MamataOfficial
Firozkh46754379,MamataOfficial
ansary_suja,MamataOfficial
mutkarsh33,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
SayakRoyChowdh3,MahuaMoitra
Ravinde59601951,MahuaMoitra
ainershashon,MahuaMoitra
Kukreja54745777,MahuaMoitra
tirath67764514,MahuaMoitra
Nandita35193822,MahuaMoitra
Simzspeaks,MahuaMoitra
